@T,D4,,,,
descr,observed soil water content at probe D4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1572,,,
x,,513672,,,
y,,4495127,,,
,14.04.2003,0.140546172,0.231241853,0.163474622,0.186037973
,15.04.2003,0.141649506,0.23324321,0.164719587,0.186494951
,16.04.2003,0.140006669,0.233780599,0.165782153,0.187002593
,17.04.2003,0.139456363,0.232909828,0.166249757,0.187534788
,18.04.2003,0.140844589,0.233076333,0.166430793,0.188067867
,19.04.2003,0.14059686,0.233548716,0.166802879,0.188511915
,20.04.2003,0.139555805,0.232882133,0.167018118,0.188916858
,21.04.2003,0.140350905,0.232425725,0.166967309,0.18925073
,22.04.2003,0.142476214,0.233196788,0.167073793,0.189534531
,23.04.2003,0.14349629,0.234582073,0.167512166,0.18980265
,24.04.2003,0.206836778,0.23244579,0.167647925,0.190060381
,25.04.2003,0.257631502,0.229773277,0.166916618,0.190448677
,26.04.2003,0.263153004,0.22937548,0.16622324,0.19071756
,27.04.2003,0.265045849,0.230587991,0.16602544,0.190861417
,28.04.2003,0.265949833,0.2325371,0.166418753,0.190952023
,29.04.2003,0.266393618,0.23464127,0.167165845,0.191087996
,30.04.2003,0.26526108,0.236635038,0.168075146,0.19129604
,01.05.2003,0.262786501,0.237195805,0.168768093,0.19158435
,02.05.2003,0.261851398,0.237701426,0.169018931,0.191872911
,03.05.2003,0.264050473,0.241794592,0.169196899,0.192159048
,04.05.2003,0.26565966,0.251045815,0.169973487,0.192437414
,05.05.2003,0.264251826,0.261942133,0.171075844,0.19275891
,06.05.2003,0.262947368,0.272166927,0.171881923,0.193166591
,07.05.2003,0.262454643,0.282739841,0.172409098,0.193580163
,08.05.2003,0.261903262,0.294429586,0.17292491,0.19402653
,09.05.2003,0.258784034,0.305099556,0.173317916,0.194451969
,10.05.2003,0.297018048,0.337754993,0.173112713,0.19478893
,11.05.2003,0.3034846,0.427536824,0.171820726,0.195007463
,12.05.2003,0.29023439,0.427221639,0.17590888,0.19506955
,13.05.2003,0.284285438,0.426345265,0.227932131,0.195004761
,14.05.2003,0.281310944,0.425911931,0.285726952,0.194923806
,15.05.2003,0.279991783,0.426584138,0.300838245,0.194942691
,16.05.2003,0.278535483,0.426876128,0.305990704,0.195120849
,17.05.2003,0.278734395,0.427571381,0.308924582,0.195450411
,18.05.2003,0.277746448,0.428351496,0.31120884,0.19592914
,19.05.2003,0.274549725,0.42815649,0.312830984,0.19654413
,20.05.2003,0.269782499,0.425431099,0.313446688,0.197211868
,21.05.2003,0.269021365,0.422600533,0.312834413,0.197848265
,22.05.2003,0.271075442,0.422103241,0.312205193,0.198316823
,23.05.2003,0.272242287,0.422974287,0.312261406,0.198644115
,24.05.2003,0.272644238,0.423925723,0.312742962,0.199004535
,25.05.2003,0.271542662,0.424053537,0.31331291,0.199433714
,26.05.2003,0.270664605,0.423621649,0.313629816,0.199983977
,27.05.2003,0.269659697,0.422864313,0.31365799,0.200570803
