,17.10.2011,1.7905625644282552,1.8195997882714963,1.8121372779683016,1.7932517282280742,1.8178306247017302,1.8049897293611106,1.8752331016500572,1.8165545069050788,1.819198350637734,1.7863343894012365,1.8258116317960615,1.827011369258982,1.8495854725996708,1.906504713653024,1.7841574288232758,1.8239548599894992,1.7980776247929262,1.8199575882870382,1.8209688053539033,1.8206419670360285,1.8424795657496458,1.8339954119545072,1.8449342945680556,2.0099856193953043,1.8011987462954173,1.8119285301619072,1.8223212523052847,1.8280542685513903,1.8360415392372549,1.86640390427085,1.963092282027971,1.8132747904911868,1.8186315223274443,1.8382427319270294,1.8136868375758737,1.8982211164950817,1.993833206817535,1.8163243104370688,1.8233897006659672,1.82948209766001,1.79552114035211,1.8421148474160767,1.9012064535557789,1.8236021997162095,1.8249966972661342,1.826349796793894,1.6331213745123074,1.8172657556939558,1.835086715039066,1.8098765095320364,1.7866543251969653,1.8042087113344987,1.7775381767014689,1.722013469311939,1.787524036875612,1.6728673801851655,1.7309136571195316,1.6267256442908657
,18.10.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,19.10.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,20.10.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,21.10.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,22.10.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,23.10.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,24.10.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,25.10.2011,6.362338098047861,5.868286901164716,6.099835979503956,6.449653674454748,6.166651495765503,6.427818385862924,5.937638835633233,5.984611686376821,5.815497317723512,6.465886643659797,6.319182008126358,6.046367480947997,5.934838781689109,5.850844481655546,6.465258135393371,5.675818621537175,6.3949857383711946,5.96756945653156,5.879464947884534,5.772408398119334,6.175192328667732,5.905300028513755,5.821394281178125,5.783178273265902,6.335686463289775,5.681929908506581,5.879408473720952,5.817533709418184,6.098778604665238,6.009978444865599,5.755758897430262,6.159987289570991,5.5879149027441395,5.988792719255958,5.699465314136229,5.729629785933718,5.726424403187994,5.522092318404271,5.985392851644095,5.949480158788167,5.594448538268301,5.7002681344438955,5.667396416340981,5.881537648247745,5.876442065484323,5.8676328145108965,5.4955392721182195,5.6863158295756016,5.624616203594433,5.673942998667359,5.592694836345844,5.581344516326881,5.574326861137673,5.530101748393211,5.5866881404441076,5.507738178317415,5.526821306025507,5.495443096130392
,26.10.2011,16.399646910670555,16.73279324356937,16.57665613304019,16.34076867240615,16.531601401134456,16.35549254387543,16.68602816579325,16.65435364892181,16.76839007290536,16.329822531202893,16.428747726922598,16.612710765296722,16.6879162853025,16.744554935744233,16.33024634400909,16.862577569488984,16.37763210386483,16.665845487041395,16.725255714468798,16.79744559517768,16.525842185937268,16.707834721612045,16.764413659605413,16.79018330245682,16.417618518555383,16.858456634541362,16.72529379586728,16.767016902615104,16.577369137182757,16.637248452898845,16.808672609977265,16.536095178033264,16.921852401224683,16.65153431404275,16.846632240393014,16.826291872377386,16.828453311341633,16.966237583839543,16.653826897148264,16.67804337917473,16.917446670140325,16.84609088629213,16.86825679219654,16.72385806068401,16.72729409063865,16.733234304276216,16.98414271199893,16.85549914039957,16.89710414867914,16.863842330884,16.91862921836235,16.9262829140024,16.931015027003202,16.96083670181303,16.92267962594182,16.975916801625107,16.963048754636663,16.98420756494911
,27.10.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,28.10.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,29.10.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,30.10.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,31.10.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,01.11.2011,3.864713088483151,3.898560635963777,3.88269716174769,3.8587310806732815,3.878119617207017,3.86022702071356,3.893809320898445,3.890591201388008,3.9021772610084704,3.8576189566679444,3.8676697209372595,3.8863602994042896,3.894001153160809,3.8997556196542082,3.85766201589647,3.911746676751263,3.8624763920376286,3.8917587680035783,3.897794825720878,3.905129291610547,3.8775344830164604,3.896024859118671,3.9017732588488148,3.9043914452847335,3.866538997373974,3.911327991244235,3.897798694777253,3.9020377474013594,3.882769602711874,3.888853319630419,3.9062699522721482,3.8785761833220525,3.9177689783150313,3.8903047579793344,3.910126637055872,3.908060062988579,3.908279664409169,3.922278496888808,3.890537683597461,3.892998069452747,3.9173213576230457,3.9100716356741247,3.9123236837336735,3.897652824599538,3.898001924005863,3.8986054475727983,3.9240976514634602,3.911027510904209,3.9152545647664594,3.911875176053648,3.9174415040966535,3.9182191168181406,3.9186998977953302,3.9217297692193807,3.917853024048469,3.923261901931035,3.9219545129898625,3.9241042404998496
,02.11.2011,5.093575692274804,4.862032813717724,4.970551000626575,5.1344971595876405,5.001864874704963,5.124263795906769,4.8945354098892295,4.916549786423116,4.837292357293535,5.142104930687029,5.0733500853928994,4.945492362684037,4.893223131820828,4.85385821957114,5.141810372928393,4.771830300745306,5.108876391202873,4.908562745848582,4.867271536203329,4.817098230567382,5.005867636054258,4.879379449258459,4.840056038267574,4.8221456586656615,5.081085091565667,4.774694426944194,4.867245068925277,4.838246736106559,4.970055449526981,4.928438214823267,4.809295247110593,4.998741616436771,4.730633193616295,4.918509276440112,4.782912600124968,4.79704953304651,4.795547292889004,4.699784668709827,4.916915888672749,4.900084984642849,4.733695258410897,4.783288851262855,4.767883135659526,4.868242931499023,4.865854826969752,4.861726268348322,4.687340272642539,4.776749940210535,4.747833688017033,4.770951268124589,4.732873365469803,4.727553905085304,4.724264998807005,4.703538381861299,4.730058257099499,4.693057432877002,4.702000964133035,4.687295198639662
,03.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,04.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,05.11.2011,0.10233156187250816,0.04414598579537913,0.07141606751624904,0.1126149234872418,0.07928508864016402,0.11004332998935952,0.05231372688086093,0.05784583043155264,0.03792883189963704,0.11452671860199262,0.09724896725648319,0.06511895618429643,0.05198395791599718,0.04209175086239488,0.11445269769933729,0.021478542021629323,0.10617655156539099,0.055838726780268674,0.045462450752680884,0.032854148090494764,0.08029096269882388,0.04850510920365491,0.0386233312103907,0.034122541717785226,0.09919273591362038,0.022198282718809952,0.04545579965708157,0.038168662558120715,0.07129153798467737,0.06083333347818128,0.030893297079300275,0.07850022934021544,0.011125913489278114,0.058338240546546294,0.024263468846774106,0.02781600991877644,0.027438504423831167,0.0033738323024239125,0.057937830109671996,0.05370830747014396,0.011895395173058439,0.024358018890135516,0.02048663902802889,0.045706557568795395,0.04510643875437119,0.044068952465641346,2.4661734068780563E-4,0.022714822999735707,0.015448312354469893,0.021257645487277956,0.011688857556573604,0.010352103566036632,0.00952561774337147,0.004317121785165768,0.010981434796407107,0.0016833113294667979,0.003930776341299113,2.3529046749775013E-4
,06.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,07.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,09.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,10.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,11.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,12.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,13.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,14.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,15.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,16.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,17.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,18.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,19.11.2011,1.201332608887855,1.2403767868175488,1.2220777856792675,1.1944321805055902,1.2167974484959183,1.1961577929488023,1.2348960000362599,1.2311838010701037,1.2445486740667162,1.193149311560089,1.2047431745625767,1.2263033266442989,1.2351172843992908,1.2417552369359512,1.1931989816929405,1.2555872868689784,1.19875251134774,1.2325306247567887,1.2394934013550942,1.2479539313648214,1.2161224783681135,1.2374516909184448,1.244082645258732,1.2471028031332616,1.2034388504599363,1.255104320372149,1.2394978644295793,1.2443877408675603,1.2221613485399625,1.2291791014798918,1.2492697182133217,1.2173241114289508,1.2625341953248015,1.2308533798653931,1.253718521690165,1.2513346654998618,1.2515879824335046,1.2677360624814271,1.23112206666711,1.2339601967610103,1.262017851209976,1.2536550759194918,1.2562528820144108,1.2393295987324373,1.2397322955406338,1.240428478374728,1.2698345127438868,1.2547577071391791,1.2596337426395527,1.2557355147318394,1.2621564438301902,1.2630534438115184,1.2636080393262854,1.2671030883856726,1.2626311446406253,1.2688704501787238,1.2673623371766902,1.269842113398242
,20.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,21.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,22.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,23.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,24.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,25.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,26.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,27.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,28.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,29.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,30.11.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,01.12.2011,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322,1.757100322
,02.12.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,03.12.2011,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881,0.642021881
,04.12.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
